Occurrences,Rank,Lemma,POS,SAMER  Avg,MSA-DA,Class,Syllable Count,MSA-DA Score,Rank Score,Class Score,Compound Score,BAREC Level E1,numeric barec level
"5,302",209,فِيمَا,conj_sub,4,MSA,Closed,2,4,2,1,44,ن,14
"5,254",210,أَمْن,noun,1,D=,Open,1,1,2,2,11,ج,3
"5,208",211,حِزْب,noun,4,D=,Open,1,1,2,2,35,ل,12
"5,181",212,قِطَاع,noun,4,D~,Open,2,2,2,2,40,م,13
"5,101",213,بَدَأ,verb,1,D~,Open,2,2,2,2,13,د,4
"5,076",214,صُورَة,noun,1,D=,Open,2,1,2,2,12,ج,3
"5,037",215,فَرِيق,noun,1,D~,Open,2,2,2,2,13,د,4
"5,007",216,وِزَارَة,noun,3,D=,Open,3,1,2,2,29,ك,11
"4,990",217,لَنْ,part_neg,2,MSA,Closed,1,4,2,1,23,ط,9
"4,963",218,قَدَّم,verb,1,D~,Open,3,2,2,2,14,د,4
"4,926",219,أَوْسَط,adj_comp,2,D=,Open,2,1,2,2,20,ز,7
"4,912",220,أَجْل,noun,5,D~,Open,1,2,2,2,48,س,15
"4,909",221,وَقَع,verb,1,D~,Open,3,2,2,2,14,د,4
"4,897",222,طِفْل,noun,1,D=,Open,1,1,2,2,11,ج,3
"4,885",223,خَارِجِيّ,adj,2,D=,Open,3,1,2,2,21,ح,8
"4,866",224,مَرْكَز,noun,2,D=,Open,2,1,2,2,20,ز,7
"4,861",225,إِنْسَان,noun,1,D=,Open,2,1,2,2,12,ج,3
"4,857",226,مِئَة,noun_num,1,D~,Closed,2,2,2,1,12,ج,3
"4,845",227,أَخ,noun,1,D=,Open,1,1,2,2,11,ج,3
"4,808",228,ظَنّ,verb,3,D~,Open,2,2,2,2,31,ك,11
"4,796",229,نِسْبَة,noun,3,D~,Open,2,2,2,2,31,ك,11
"4,770",230,تَحْقِيق,noun,2,D~,Open,2,2,2,2,22,ح,8
"4,737",231,وَالِد,noun,1,D=,Open,2,1,2,2,12,ج,3
"4,726",232,قَضِيَّة,noun,3,D~,Open,3,2,2,2,32,ك,11
"4,715",233,وَجَب,verb,3,MSA,Open,3,4,2,2,38,م,13
"4,714",234,حَمَل,verb,1,D=,Open,3,1,2,2,13,د,4
"4,701",235,مَسْؤُول,noun,3,D=,Open,2,1,2,2,28,ي,10
"4,696",236,كَأَنَّ,verb_pseudo,1,D=,Closed,3,1,2,1,12,ج,3
"4,693",237,صَدِيق,noun,1,D~,Open,2,2,2,2,13,د,4
"4,676",238,خِدْمَة,noun,2,D=,Open,2,1,2,2,20,ز,7
"4,670",239,بَدَأ,verb,4,MSA,Open,2,4,2,2,48,س,15
"4,658",240,كَاد,verb,4,MSA,Open,2,4,2,2,48,س,15
"4,655",241,ذَات,noun,4,D~,Open,1,2,2,2,39,م,13
"4,591",242,شَكْل,noun,1,D=,Open,1,1,2,2,11,ج,3
"4,584",243,حَال,noun,3,MSA,Open,2,4,2,2,37,م,13
"4,576",244,وَطَنِيّ,adj,2,D=,Open,3,1,2,2,21,ح,8
"4,562",245,نَائِب,noun,3,D~,Open,2,2,2,2,31,ك,11
"4,553",246,جِهَة,noun,2,D=,Open,2,1,2,2,20,ز,7
"4,551",247,سُلْطَة,noun,3,D=,Open,2,1,2,2,28,ي,10
"4,540",248,زِيَارَة,noun,1,D=,Open,3,1,2,2,13,د,4
"4,529",249,عَلَاقَة,noun,1,D~,Open,3,2,2,2,14,د,4
"4,510",250,أُمّ,noun,1,D=,Open,1,1,2,2,11,ج,3
"4,508",251,وِكَالَة,noun,4,D=,Open,3,1,2,2,37,م,13
"4,506",252,نُقْطَة,noun,1,D=,Open,2,1,2,2,12,ج,3
"4,501",253,قَرَار,noun,2,D~,Open,2,2,2,2,22,ح,8
"4,489",254,مَصْدَر,noun,3,D=,Open,2,1,2,2,28,ي,10
"4,486",255,رَغْم,noun,3,D=,Closed,1,1,2,1,24,ط,9
"4,483",256,إِنَّمَا,part_restrict,4,MSA,Closed,3,4,2,1,45,ن,14
"4,477",257,تَحْت,noun,1,D=,Closed,1,1,2,1,10,ب,2
"4,457",258,عَدَم,noun,4,D=,Open,2,1,2,2,36,ل,12
"4,453",259,حُكْم,noun,3,D=,Open,1,1,2,2,27,ي,10
"4,449",260,دُولَار,noun,2,D=,Open,2,1,2,2,20,ز,7
"4,447",261,عُضْو,noun,2,D=,Open,1,1,2,2,19,ز,7
"4,426",262,نِظَام,noun,1,D~,Open,2,2,2,2,13,د,4
"4,425",263,نَتِيجَة,noun,1,D=,Open,3,1,2,2,13,د,4
"4,424",264,شَعْب,noun,1,D=,Open,1,1,2,2,11,ج,3
"4,406",265,أُمَّة,noun,3,D=,Open,2,1,2,2,28,ي,10
"4,398",266,مُقْبِل,adj,3,MSA,Open,2,4,2,2,37,م,13
"4,393",267,ٱِعْتَبَر,verb,2,D=,Open,3,1,2,2,21,ح,8
"4,389",268,كَلِمَة,noun,1,D=,Open,3,1,2,2,13,د,4
"4,367",269,زَاد,verb,1,D=,Open,2,1,2,2,12,ج,3
"4,367",269,سَلَام,noun,2,D=,Open,2,1,2,2,20,ز,7
"4,355",271,وَقَف,verb,1,D~,Open,3,2,2,2,14,د,4
"4,348",272,كَيْفَ,adv_rel,2,D=,Closed,2,1,2,1,18,و,6
"4,329",273,شَدِيد,adj,1,MSA,Open,2,4,2,2,15,ه,5
"4,322",274,حَدَث,verb,1,D~,Open,3,2,2,2,14,د,4
"4,317",275,إِدَارَة,noun,1,D=,Open,3,1,2,2,13,د,4
"4,313",276,نَحْنُ,pron,1,D~,Closed,2,2,2,1,12,ج,3
"4,309",277,مَجْمُوعَة,noun,1,D=,Open,3,1,2,2,13,د,4
"4,282",278,عِلْم,noun,1,D=,Open,1,1,2,2,11,ج,3
"4,230",279,سِرّ,noun,1,D=,Open,1,1,2,2,11,ج,3
"4,223",280,طَوِيل,adj,1,D=,Open,2,1,2,2,12,ج,3
"4,210",281,أَقَام,verb,3,MSA,Open,3,4,2,2,38,م,13
"4,181",282,كَتَب,verb,1,D=,Open,3,1,2,2,13,د,4
"4,163",283,لَيْلَة,noun,1,D=,Open,2,1,2,2,12,ج,3
"4,159",284,حَسَب,noun,2,D=,Open,1,1,2,2,19,ز,7
"4,146",285,وُجُود,noun,2,D=,Open,2,1,2,2,20,ز,7
"4,145",286,حَالَة,noun,2,D=,Open,2,1,2,2,20,ز,7
"4,126",287,أَيْنَ,adv_rel,1,MSA,Closed,2,4,2,1,14,د,4
"4,105",288,وَضَع,verb,1,MSA,Open,3,4,2,2,16,ه,5
"4,086",289,عَسْكَرِيّ,adj,3,D=,Open,3,1,2,2,29,ك,11
"4,073",290,لِقَاء,noun,2,MSA,Open,2,4,2,2,26,ي,10
"4,061",291,شَعَر,verb,1,MSA,Open,3,4,2,2,16,ه,5
"4,055",292,نَادِي,noun,1,D=,Open,2,1,2,2,12,ج,3
"4,051",293,مُؤْتَمَر,noun,4,D=,Open,3,1,2,2,37,م,13
"4,043",294,قَائِد,noun,2,MSA,Open,2,4,2,2,26,ي,10
"4,020",295,وَرَق,noun,1,D~,Open,2,2,2,2,13,د,4
"4,017",296,مَاء,noun,1,D~,Open,1,2,2,2,12,ج,3
"3,998",297,جِدّ,noun,3,D=,Open,1,1,2,2,27,ي,10
"3,991",298,قَانُون,noun,3,D=,Open,2,1,2,2,28,ي,10
"3,975",299,سَبِيل,noun,3,D=,Open,2,1,2,2,28,ي,10
"3,970",300,ثَالِث,adj_num,1,D~,Closed,2,2,2,1,12,ج,3
"3,967",301,حَقِيقَة,noun,1,D~,Open,3,2,2,2,14,د,4
"3,962",302,بُدّ,noun,4,MSA,Open,1,4,2,2,47,ن,14
"3,949",303,مُبَارَاة,noun,1,D=,Open,3,1,2,2,13,د,4
"3,941",304,ٱِنْتَظَر,verb,1,MSA,Open,3,4,2,2,16,ه,5
"3,940",305,مَرْحَلَة,noun,3,D=,Open,3,1,2,2,29,ك,11
"3,939",306,مَا,pron_rel,1,MSA,Closed,1,4,2,1,13,د,4
"3,936",307,تَرَك,verb,1,D=,Open,3,1,2,2,13,د,4
"3,933",308,سُوق,noun,1,D=,Open,1,1,2,2,11,ج,3
"3,932",309,لَجْنَة,noun,2,D=,Open,2,1,2,2,20,ز,7
"3,932",309,طَرَف,noun,4,D=,Open,2,1,2,2,36,ل,12
"3,931",311,سَار,verb,2,MSA,Open,2,4,2,2,26,ي,10
